Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,0.002662934,0.9584174,0.004065,0.01153221,-0.008404255,-0.005022236,0.9998856,-0.08015164,0.9592653,0.002682496,-0.01828392,-0.706589,-0.02741198,-0.7068567,-0.07444647,0.5184619,-0.02584911,-0.01877135,-0.7065762,-0.02789962,-0.7068377,-0.06936799,0.0766703,-0.05505687,0.03179086,0.7054917,-0.7073206,0.03112304,-0.0813896,0.01330321,0.0790654,0.0317844,0.7067309,-0.706078,0.03122705,-0.08816846,0.0003970655,0.1547907,0.0317844,0.7067309,-0.706078,0.03122705,0.08547751,0.9575694,0.005447498,-0.004908368,-0.7099086,-0.009421328,0.7042139,0.07653696,0.5159065,0.002592347,0.0372687,-0.7091486,-0.05123602,0.7022069,0.06871998,0.0766635,-0.05275397,-0.02975706,0.7056168,-0.7073052,-0.03064606,0.08012492,0.01325672,0.0814036,-0.02962386,0.7068616,-0.706068,-0.03061917,0.08657862,0.0003282815,0.1571535,-0.02962386,0.7068616,-0.706068,-0.03061917,0.004200366,1.046074,-0.0342857,-0.00721162,-0.00888892,0.9999337,0.001286914,0.004390264,1.12371,-0.03290397,-0.006018799,-0.00624537,0.9999595,-0.002448477,0.004004213,1.201351,-0.03193646,-0.004822284,-0.0035938,0.9999628,-0.006194946,0.002375571,1.332453,-0.03100201,-0.004822284,-0.0035938,0.9999628,-0.006194945,-0.07137568,1.458608,-0.01121466,-0.1004593,0.0886388,0.6971011,-0.7043449,-0.2040877,1.457518,-0.04770278,0.02844318,0.672704,0.009365886,0.7393056,-0.2106049,1.191099,-0.06228994,-0.003600002,0.6727941,-0.02343025,0.7394502,-0.2193648,0.897534,-0.05145996,-0.002957382,0.6742206,-0.01915064,0.7382759,-0.0001991163,1.539668,-0.02952533,0.1583886,0.02799193,0.9862698,0.03743915,0.006746518,1.646083,-0.03669445,0.3168911,0.05874553,0.9432578,0.07996029,0.07259023,1.460387,-0.009819771,0.09437833,0.09583496,0.7069712,0.6943344,0.2052292,1.462786,-0.04650994,0.03159582,-0.6849608,-0.0003686379,0.7278947,0.2166378,1.196421,-0.05892106,0.001946903,-0.6849593,0.02790857,0.7280442,0.2293642,0.902986,-0.04851833,-0.002211171,-0.6849118,0.02675405,0.7281314
0,0,0,0,6.657903E-08,0,0,1,0.002662934,0.9584174,0.004065,0.01153221,-0.008404255,-0.005022236,0.9998856,-0.08015164,0.9592653,0.002682496,-0.01828392,-0.706589,-0.02741198,-0.7068567,-0.07444647,0.5184619,-0.02584911,-0.01877135,-0.7065762,-0.02789962,-0.7068377,-0.06936799,0.0766703,-0.05505687,0.03179086,0.7054917,-0.7073206,0.03112304,-0.0813896,0.01330321,0.0790654,0.0317844,0.7067309,-0.706078,0.03122705,-0.08816846,0.0003970655,0.1547907,0.0317844,0.7067309,-0.706078,0.03122705,0.08547751,0.9575694,0.005447498,-0.004908368,-0.7099086,-0.009421328,0.7042139,0.07653696,0.5159065,0.002592347,0.0372687,-0.7091486,-0.05123602,0.7022069,0.06871998,0.0766635,-0.05275397,-0.02975706,0.7056168,-0.7073052,-0.03064606,0.08012492,0.01325672,0.0814036,-0.02962386,0.7068616,-0.706068,-0.03061917,0.08657862,0.0003282815,0.1571535,-0.02962386,0.7068616,-0.706068,-0.03061917,0.004200366,1.046074,-0.0342857,-0.00721162,-0.00888892,0.9999337,0.001286914,0.004390264,1.12371,-0.03290397,-0.006018799,-0.00624537,0.9999595,-0.002448477,0.004004213,1.201351,-0.03193646,-0.004822284,-0.0035938,0.9999628,-0.006194946,0.002375571,1.332453,-0.03100201,-0.004822284,-0.0035938,0.9999628,-0.006194945,-0.07137568,1.458608,-0.01121466,-0.1004593,0.0886388,0.6971011,-0.7043449,-0.2040877,1.457518,-0.04770278,0.02844318,0.672704,0.009365886,0.7393056,-0.2106049,1.191099,-0.06228994,-0.003600002,0.6727941,-0.02343025,0.7394502,-0.2193648,0.897534,-0.05145996,-0.002957382,0.6742206,-0.01915064,0.7382759,-0.0001991163,1.539668,-0.02952533,0.1583886,0.02799193,0.9862698,0.03743915,0.006746518,1.646083,-0.03669445,0.3168911,0.05874553,0.9432578,0.07996029,0.07259023,1.460387,-0.009819771,0.09437833,0.09583496,0.7069712,0.6943344,0.2052292,1.462786,-0.04650994,0.03159582,-0.6849608,-0.0003686379,0.7278947,0.2166378,1.196421,-0.05892106,0.001946903,-0.6849593,0.02790857,0.7280442,0.2293642,0.902986,-0.04851833,-0.002211171,-0.6849118,0.02675405,0.7281314
0,0,0,0,6.657903E-08,0,0,1,0.002662934,0.9584174,0.004065,0.01153221,-0.008404255,-0.005022236,0.9998856,-0.08015164,0.9592653,0.002682496,-0.01828392,-0.706589,-0.02741198,-0.7068567,-0.07444647,0.5184619,-0.02584911,-0.01877135,-0.7065762,-0.02789962,-0.7068377,-0.06936799,0.0766703,-0.05505687,0.03179086,0.7054917,-0.7073206,0.03112304,-0.0813896,0.01330321,0.0790654,0.0317844,0.7067309,-0.706078,0.03122705,-0.08816846,0.0003970655,0.1547907,0.0317844,0.7067309,-0.706078,0.03122705,0.08547751,0.9575694,0.005447498,-0.004908368,-0.7099086,-0.009421328,0.7042139,0.07653696,0.5159065,0.002592347,0.0372687,-0.7091486,-0.05123602,0.7022069,0.06871998,0.0766635,-0.05275397,-0.02975706,0.7056168,-0.7073052,-0.03064606,0.08012492,0.01325672,0.0814036,-0.02962386,0.7068616,-0.706068,-0.03061917,0.08657862,0.0003282815,0.1571535,-0.02962386,0.7068616,-0.706068,-0.03061917,0.004200366,1.046074,-0.0342857,-0.00721162,-0.00888892,0.9999337,0.001286914,0.004390264,1.12371,-0.03290397,-0.006018799,-0.00624537,0.9999595,-0.002448477,0.004004213,1.201351,-0.03193646,-0.004822284,-0.0035938,0.9999628,-0.006194946,0.002375571,1.332453,-0.03100201,-0.004822284,-0.0035938,0.9999628,-0.006194946,-0.07137568,1.458608,-0.01121466,-0.1004593,0.0886388,0.6971011,-0.7043449,-0.2040877,1.457518,-0.04770278,0.02844318,0.672704,0.009365887,0.7393056,-0.2106049,1.191099,-0.06228994,-0.003600004,0.6727941,-0.02343025,0.7394502,-0.2193648,0.897534,-0.05145996,-0.002957382,0.6742206,-0.01915064,0.7382759,-0.0001991163,1.539668,-0.02952533,0.1583886,0.02799193,0.9862698,0.03743915,0.006746518,1.646083,-0.03669445,0.3168911,0.05874553,0.9432578,0.07996029,0.07259023,1.460387,-0.009819771,0.09437833,0.09583496,0.7069712,0.6943344,0.2052292,1.462786,-0.04650994,0.03159582,-0.6849608,-0.000368637,0.7278947,0.2166378,1.196421,-0.05892106,0.001946903,-0.6849593,0.02790857,0.7280442,0.2293642,0.902986,-0.04851833,-0.002211171,-0.6849118,0.02675405,0.7281314
10.00977,0,0,0,6.657903E-08,0,0,1,0.002649588,0.9579978,0.004057351,0.01151632,-0.00839707,-0.004946299,0.9998862,-0.08016513,0.9588332,0.002675878,-0.007563008,-0.7068564,-0.01671022,-0.7071193,-0.07444844,0.5173678,-0.01248495,-0.02942218,-0.7062842,-0.03857316,-0.7062643,-0.06936527,0.07665897,-0.05501328,0.03183509,0.7055904,-0.7072212,0.03110205,-0.08139636,0.01325469,0.07909065,0.03183472,0.7068292,-0.7059783,0.0312122,-0.08818007,0.0003276261,0.1548119,0.03183472,0.7068292,-0.7059783,0.0312122,0.08546431,0.9571624,0.005438817,-0.007639633,-0.7099435,-0.00674298,0.7041849,0.07647704,0.5154916,0.005962549,0.03984824,-0.7090955,-0.05381328,0.7019259,0.06868884,0.07666446,-0.05259377,-0.029765,0.7055982,-0.7073247,-0.03061006,0.08009254,0.01326536,0.08156747,-0.02963536,0.706843,-0.7060875,-0.03058655,0.08654479,0.0003410964,0.1573182,-0.02963536,0.706843,-0.7060875,-0.03058655,0.004173226,1.045653,-0.03429626,-0.007189176,-0.00885144,0.9999343,0.001236335,0.004355343,1.123289,-0.03292041,-0.005981096,-0.006186298,0.99996,-0.002473697,0.003965467,1.200931,-0.03196209,-0.004769278,-0.003513075,0.9999635,-0.006194731,0.00233703,1.332032,-0.03104871,-0.004769278,-0.003513075,0.9999635,-0.006194731,-0.07141205,1.458191,-0.01127406,-0.1007052,0.08852992,0.6972138,-0.7042118,-0.2041174,1.457158,-0.04778802,0.02842443,0.6727564,0.009412814,0.739258,-0.2106104,1.190739,-0.06238418,-0.003615178,0.6727589,-0.02345846,0.7394812,-0.219377,0.8971746,-0.05153685,-0.002968283,0.6741983,-0.01918276,0.7382957,-0.0002373294,1.539248,-0.02960535,0.15839,0.02792217,0.9862715,0.03744477,0.006711858,1.645664,-0.03675998,0.316845,0.05852808,0.9432861,0.0799721,0.07255404,1.45997,-0.009894588,0.09432203,0.09576171,0.7068571,0.6944686,0.2052007,1.462322,-0.04656021,0.03170198,-0.6848169,-0.0003637289,0.7280256,0.2166475,1.19596,-0.05901295,0.001760595,-0.684832,0.02812748,0.728156,0.2293942,0.9025322,-0.0484446,-0.002324053,-0.6847981,0.02667865,0.728241
20.1416,0,0,0,6.657903E-08,0,0,1,0.002577986,0.9582508,0.00395503,0.01147194,-0.008316033,-0.004780723,0.9998882,-0.08023722,0.9590585,0.002586626,-0.01086833,-0.7068748,-0.02008425,-0.7069701,-0.07447968,0.5177567,-0.01674529,-0.02597311,-0.7064811,-0.03518894,-0.7063794,-0.06935683,0.0766576,-0.05500836,0.03190223,0.7056462,-0.7071626,0.03109842,-0.08140589,0.01323204,0.07908396,0.03190824,0.7068847,-0.7059192,0.03121504,-0.08819897,0.0002931746,0.1548023,0.03190824,0.7068847,-0.7059192,0.03121504,0.08539319,0.9574431,0.005323427,-0.005886092,-0.7099453,-0.008417918,0.7041821,0.07646375,0.5157737,0.003705532,0.03808892,-0.7091571,-0.05200927,0.7020973,0.06868636,0.07665617,-0.05263304,-0.0297974,0.7055774,-0.7073444,-0.03060958,0.08009923,0.013265,0.08153123,-0.02967035,0.7068219,-0.706107,-0.03058866,0.08655611,0.0003452688,0.1572824,-0.02967035,0.7068219,-0.706107,-0.03058866,0.004066413,1.045903,-0.03440678,-0.007123249,-0.00880361,0.9999354,0.001139212,0.004233591,1.123539,-0.03303847,-0.005930285,-0.006135031,0.9999605,-0.00250236,0.00383936,1.201181,-0.03208812,-0.004733632,-0.003458363,0.999964,-0.006154737,0.002221511,1.332283,-0.03118898,-0.004733632,-0.003458363,0.999964,-0.006154737,-0.07151603,1.45845,-0.01142292,-0.1009363,0.08854607,0.6974244,-0.7039679,-0.2042093,1.457511,-0.04798313,0.02838495,0.672749,0.009380087,0.7392669,-0.2107009,1.191089,-0.06255204,-0.003606744,0.6727756,-0.02348194,0.7394654,-0.2194808,0.8975258,-0.05169893,-0.002964976,0.6741887,-0.01920789,0.7383037,-0.0003361136,1.539499,-0.02976813,0.1583922,0.02783899,0.9862728,0.03746302,0.006619735,1.645916,-0.03690586,0.3168171,0.05831013,0.9433095,0.07996891,0.07245027,1.460217,-0.01005384,0.09425023,0.09571223,0.7067602,0.6945838,0.2051039,1.462528,-0.04669655,0.03169483,-0.684665,-0.0003355061,0.7281687,0.2165565,1.196166,-0.05913859,0.001700441,-0.6847264,0.02812594,0.7282557,0.2292799,0.9027373,-0.04854697,-0.002276559,-0.6846731,0.02657895,0.7283625
30.15137,0,0,0,6.657903E-08,0,0,1,0.002519968,0.9582067,0.003862479,0.01143128,-0.008284329,-0.00461758,0.9998897,-0.08029559,0.9589872,0.002498983,-0.009563698,-0.7069891,-0.01883855,-0.7069088,-0.07450331,0.517619,-0.01524142,-0.02713874,-0.7065328,-0.03640877,-0.7062219,-0.06935298,0.076652,-0.05499455,0.03203314,0.7056851,-0.7071189,0.03107269,-0.08143574,0.01321207,0.07908797,0.03205236,0.7069227,-0.705875,0.03120274,-0.08824572,0.0002651605,0.1548034,0.03205236,0.7069227,-0.705875,0.03120274,0.08533552,0.9574261,0.005225967,-0.006030612,-0.709954,-0.008238982,0.7041741,0.07642676,0.5157556,0.003810118,0.0381681,-0.7091647,-0.05205093,0.7020822,0.06867415,0.07664729,-0.05260367,-0.02988113,0.7056684,-0.7072527,-0.03054358,0.08010313,0.0132225,0.08154336,-0.02976732,0.7069123,-0.7060146,-0.03053599,0.08656733,0.000283876,0.1572906,-0.02976732,0.7069123,-0.7060146,-0.03053599,0.003977489,1.045856,-0.03450676,-0.007096105,-0.008776154,0.9999358,0.001053673,0.004131452,1.123492,-0.03314282,-0.005907704,-0.00612079,0.9999607,-0.002510288,0.003736024,1.201134,-0.03219467,-0.004715636,-0.003457377,0.9999644,-0.006084822,0.002136524,1.332236,-0.03129568,-0.004715636,-0.003457377,0.9999644,-0.006084822,-0.07158267,1.458414,-0.01152712,-0.1010781,0.08872765,0.6976826,-0.7036689,-0.20426,1.457582,-0.04814767,0.02844792,0.672681,0.009131278,0.7393294,-0.2108711,1.19116,-0.06265271,-0.003512524,0.6727899,-0.02352749,0.7394516,-0.2197078,0.897597,-0.05182236,-0.0028832,0.6742101,-0.01911964,0.7382868,-0.0003920984,1.539453,-0.02987505,0.1583914,0.02776384,0.9862733,0.03750525,0.006575208,1.64587,-0.03699837,0.3167996,0.05816141,0.9433231,0.07998267,0.07238393,1.460161,-0.0101633,0.09413926,0.09568587,0.7066216,0.6947431,0.2050457,1.462412,-0.04678014,0.03175825,-0.6845924,-0.0003381268,0.7282342,0.2165193,1.196052,-0.05924888,0.001678007,-0.6846948,0.02803716,0.7282888,0.2291962,0.9026208,-0.0486839,-0.002097365,-0.6845507,0.02653993,0.7284793
40.16113,0,0,0,6.657903E-08,0,0,1,0.002434137,0.9582408,0.003763284,0.01140214,-0.008329489,-0.004543521,0.99989,-0.0803814,0.9590092,0.002392145,-0.009826739,-0.7070232,-0.01917438,-0.7068622,-0.07454477,0.5176567,-0.01572249,-0.02671096,-0.706587,-0.03605209,-0.7062026,-0.06935175,0.07664628,-0.0549861,0.03213851,0.7057682,-0.707029,0.03112444,-0.08146849,0.01317411,0.07907799,0.03216282,0.7070055,-0.7057848,0.0312597,-0.08829726,0.0002086553,0.1547886,0.03216282,0.7070055,-0.7057848,0.0312597,0.08524967,0.9574724,0.005134415,-0.005735352,-0.7099673,-0.008471066,0.7041605,0.07638177,0.5158023,0.003389123,0.03785387,-0.7091917,-0.05167783,0.7020997,0.06866388,0.07663859,-0.05259677,-0.02996449,0.7057967,-0.7071244,-0.03047047,0.08010785,0.0131663,0.08152645,-0.02986433,0.7070397,-0.7058855,-0.0304767,0.08657874,0.0002007275,0.1572685,-0.02986433,0.7070397,-0.7058855,-0.0304767,0.003882329,1.045888,-0.03461107,-0.00713252,-0.008750215,0.9999357,0.001032925,0.004033049,1.123525,-0.03325118,-0.005935377,-0.006098061,0.9999607,-0.002477721,0.003642673,1.201166,-0.03230654,-0.004734541,-0.003437869,0.999965,-0.005998784,0.002065741,1.332269,-0.03141258,-0.004734541,-0.003437869,0.999965,-0.005998784,-0.07163242,1.458459,-0.01165158,-0.1010742,0.08900002,0.69787,-0.7034492,-0.2042964,1.457699,-0.04832216,0.02858396,0.6726101,0.008908105,0.7393911,-0.211043,1.191279,-0.06280135,-0.003367509,0.6727387,-0.0235796,0.7394965,-0.2199605,0.8977177,-0.05201404,-0.002845817,0.6741529,-0.01901994,0.7383416,-0.0004272147,1.539486,-0.02999992,0.1583601,0.02770497,0.986279,0.03752851,0.006547222,1.645903,-0.03711139,0.3167592,0.05802631,0.9433481,0.07994304,0.07233439,1.460182,-0.01028243,0.09401529,0.09556396,0.706437,0.6949643,0.2050103,1.462355,-0.04685273,0.0318279,-0.6845407,-0.0003477171,0.7282795,0.2165047,1.195997,-0.05935282,0.0016496,-0.6846733,0.02797646,0.7283112,0.2291446,0.9025642,-0.04880053,-0.002169514,-0.6844755,0.02647234,0.7285519
50.04883,0,0,0,6.657903E-08,0,0,1,0.002330548,0.9582354,0.003663208,0.01140629,-0.008345868,-0.004520826,0.9998899,-0.08048498,0.959,0.002289317,-0.00956667,-0.707047,-0.0189962,-0.7068467,-0.07459764,0.5176371,-0.01555186,-0.02679925,-0.7066037,-0.03622108,-0.7061735,-0.0693555,0.07664169,-0.05497625,0.03221522,0.7058592,-0.7069327,0.031166,-0.08149709,0.01313411,0.07906887,0.03224308,0.707096,-0.7056881,0.03130494,-0.08833983,0.0001489314,0.1547748,0.03224308,0.707096,-0.7056881,0.03130494,0.08514608,0.9574708,0.005037092,-0.00577476,-0.7099217,-0.008351115,0.7042075,0.07632796,0.5157992,0.003392135,0.0378838,-0.7091431,-0.05163236,0.7021502,0.0686532,0.07663352,-0.05258338,-0.02996571,0.705851,-0.7070708,-0.03045114,0.08009516,0.01314067,0.08153035,-0.02986791,0.707094,-0.7058316,-0.03045947,0.08656488,0.000163713,0.1572706,-0.02986791,0.707094,-0.7058316,-0.03045947,0.003776066,1.045883,-0.03471041,-0.007159243,-0.00873656,0.9999356,0.001043609,0.003928425,1.12352,-0.03335263,-0.005972448,-0.006066598,0.9999608,-0.002433658,0.003544885,1.201161,-0.03241285,-0.004781988,-0.003388546,0.9999653,-0.005921244,0.001988304,1.332264,-0.0315318,-0.004781988,-0.003388546,0.9999653,-0.005921244,-0.07169206,1.458468,-0.01179008,-0.1009089,0.08917836,0.6979414,-0.7033793,-0.2043556,1.457726,-0.04846271,0.02865439,0.6726201,0.008857527,0.73938,-0.2111476,1.191308,-0.06295141,-0.003200138,0.6726546,-0.02368735,0.7395704,-0.2201792,0.8977488,-0.05219528,-0.002816269,0.6740614,-0.01909814,0.7384232,-0.0004724828,1.539482,-0.03013954,0.1583282,0.02765883,0.9862846,0.0375522,0.006508744,1.645899,-0.03724187,0.3167446,0.05788623,0.9433644,0.07991237,0.07227489,1.460169,-0.01040743,0.09402663,0.09546634,0.7063226,0.6950926,0.2049561,1.462297,-0.04696121,0.03181859,-0.6844948,-0.0004166583,0.7283228,0.2164195,1.19594,-0.05948362,0.001615841,-0.6846266,0.02792106,0.7283573,0.2290229,0.9025046,-0.04893998,-0.002195796,-0.684419,0.02640565,0.7286073
60.05859,0,0,0,6.657903E-08,0,0,1,0.002206926,0.9582475,0.00358808,0.01143186,-0.008365364,-0.004475353,0.9998896,-0.08060861,0.9590047,0.002210893,-0.009530297,-0.7070793,-0.01905745,-0.7068131,-0.07466113,0.5176432,-0.01564609,-0.02666961,-0.7066405,-0.03618755,-0.7061433,-0.06936068,0.07663948,-0.05496883,0.03231714,0.7059324,-0.7068546,0.03117405,-0.08153094,0.01310389,0.07906042,0.03235319,0.707169,-0.7056093,0.03132142,-0.08838882,0.0001027378,0.1547623,0.03235319,0.707169,-0.7056093,0.03132142,0.08502247,0.9574904,0.00496526,-0.005666169,-0.7099432,-0.008369785,0.7041864,0.0762609,0.515818,0.003240765,0.03780255,-0.7091677,-0.05146048,0.7021426,0.06864318,0.07663114,-0.05257711,-0.02996259,0.7058615,-0.7070627,-0.03040313,0.0800794,0.01313536,0.08153566,-0.02986855,0.7071041,-0.7058235,-0.03041526,0.08654524,0.0001565605,0.1572759,-0.02986855,0.7071041,-0.7058235,-0.03041526,0.003646021,1.045898,-0.03478108,-0.007170084,-0.008772905,0.9999353,0.00103268,0.003796627,1.123534,-0.03341767,-0.005974637,-0.006113715,0.9999605,-0.00241004,0.003416709,1.201175,-0.03247055,-0.004775501,-0.003446468,0.9999655,-0.005862982,0.001875338,1.332278,-0.03157423,-0.004775501,-0.003446468,0.9999655,-0.005862982,-0.07179011,1.458488,-0.01181679,-0.1008035,0.08919892,0.6979116,-0.7034215,-0.2044579,1.457729,-0.04847343,0.02866293,0.672648,0.00889627,0.7393538,-0.2112383,1.191312,-0.06297913,-0.003040206,0.6724927,-0.02375452,0.7397163,-0.2203648,0.8977537,-0.05226793,-0.002825804,0.6739935,-0.01916893,0.7384834,-0.0005614087,1.539496,-0.03015783,0.1583521,0.0275515,0.9862821,0.03759233,0.006431748,1.645914,-0.03723907,0.3167851,0.05773264,0.9433584,0.07993311,0.07217705,1.460172,-0.01043597,0.09405662,0.09545983,0.7062885,0.6951239,0.2048572,1.462289,-0.04699415,0.03183455,-0.6845656,-0.0006253006,0.7282559,0.2162465,1.195932,-0.05959786,0.001724001,-0.6844679,0.02811347,0.7284989,0.2289779,0.9025035,-0.04902583,-0.002165874,-0.6844261,0.02638139,0.7286016
70.06836,0,0,0,6.657903E-08,0,0,1,0.002046295,0.958254,0.003522305,0.0115213,-0.008365956,-0.004388655,0.999889,-0.08076937,0.958997,0.002144922,-0.009250318,-0.7071373,-0.01890778,-0.7067629,-0.07474176,0.5176258,-0.01544428,-0.02676341,-0.7066912,-0.03640861,-0.7060777,-0.06936508,0.07664049,-0.054964,0.03237107,0.7059236,-0.7068606,0.03118457,-0.08155158,0.0131083,0.07906533,0.03241058,0.7071601,-0.7056152,0.03133554,-0.08841795,0.0001089367,0.1547667,0.03241058,0.7071601,-0.7056152,0.03133554,0.08486196,0.9575111,0.004899682,-0.005553131,-0.7099788,-0.008364158,0.7041516,0.07617488,0.5158376,0.003107953,0.03775331,-0.7092083,-0.05129018,0.7021167,0.06863466,0.07663203,-0.05257328,-0.02994761,0.7058519,-0.707076,-0.03033056,0.08005951,0.01314102,0.08154275,-0.02985835,0.7070943,-0.7058366,-0.0303472,0.08651802,0.0001649647,0.1572841,-0.02985835,0.7070943,-0.7058366,-0.0303472,0.003470216,1.045911,-0.0348313,-0.007169835,-0.008843317,0.9999347,0.0009866178,0.003613591,1.123547,-0.033457,-0.005973545,-0.006165104,0.9999604,-0.002415463,0.003232785,1.201189,-0.03250191,-0.004773563,-0.003478773,0.9999657,-0.005827643,0.001700641,1.332292,-0.03159707,-0.004773563,-0.003478773,0.9999657,-0.005827643,-0.07195584,1.458506,-0.01183111,-0.1007965,0.08910207,0.6978731,-0.703473,-0.204629,1.457731,-0.04846825,0.02869185,0.6726194,0.008929185,0.7393783,-0.2114061,1.191315,-0.06299743,-0.002971777,0.6724247,-0.02370805,0.7397801,-0.2205405,0.8977552,-0.05233525,-0.002774493,0.6739509,-0.01913167,0.7385237,-0.0007215198,1.53951,-0.03016721,0.1583927,0.02747124,0.9862761,0.03764518,0.006285207,1.645927,-0.03723361,0.3168612,0.0576065,0.9433349,0.0800015,0.07201146,1.460179,-0.01045082,0.09405821,0.09536531,0.7063133,0.6951117,0.2046964,1.462306,-0.04699126,0.03169869,-0.6846189,-0.000671897,0.7282115,0.2160189,1.195944,-0.05955849,0.001696248,-0.6844124,0.02811011,0.728551,0.2287385,0.9025156,-0.04897689,-0.002197901,-0.6843552,0.02632862,0.7286702
