Timestamp,Root_P_x,Root_P_y,Root_P_z,Root_Q_x,Root_Q_y,Root_Q_z,Root_Q_w,Hips_P_x,Hips_P_y,Hips_P_z,Hips_Q_x,Hips_Q_y,Hips_Q_z,Hips_Q_w,LeftThigh_P_x,LeftThigh_P_y,LeftThigh_P_z,LeftThigh_Q_x,LeftThigh_Q_y,LeftThigh_Q_z,LeftThigh_Q_w,LeftShin_P_x,LeftShin_P_y,LeftShin_P_z,LeftShin_Q_x,LeftShin_Q_y,LeftShin_Q_z,LeftShin_Q_w,LeftFoot_P_x,LeftFoot_P_y,LeftFoot_P_z,LeftFoot_Q_x,LeftFoot_Q_y,LeftFoot_Q_z,LeftFoot_Q_w,LeftToe_P_x,LeftToe_P_y,LeftToe_P_z,LeftToe_Q_x,LeftToe_Q_y,LeftToe_Q_z,LeftToe_Q_w,LeftToeTip_P_x,LeftToeTip_P_y,LeftToeTip_P_z,LeftToeTip_Q_x,LeftToeTip_Q_y,LeftToeTip_Q_z,LeftToeTip_Q_w,RightThigh_P_x,RightThigh_P_y,RightThigh_P_z,RightThigh_Q_x,RightThigh_Q_y,RightThigh_Q_z,RightThigh_Q_w,RightShin_P_x,RightShin_P_y,RightShin_P_z,RightShin_Q_x,RightShin_Q_y,RightShin_Q_z,RightShin_Q_w,RightFoot_P_x,RightFoot_P_y,RightFoot_P_z,RightFoot_Q_x,RightFoot_Q_y,RightFoot_Q_z,RightFoot_Q_w,RightToe_P_x,RightToe_P_y,RightToe_P_z,RightToe_Q_x,RightToe_Q_y,RightToe_Q_z,RightToe_Q_w,RightToeTip_P_x,RightToeTip_P_y,RightToeTip_P_z,RightToeTip_Q_x,RightToeTip_Q_y,RightToeTip_Q_z,RightToeTip_Q_w,Spine1_P_x,Spine1_P_y,Spine1_P_z,Spine1_Q_x,Spine1_Q_y,Spine1_Q_z,Spine1_Q_w,Spine2_P_x,Spine2_P_y,Spine2_P_z,Spine2_Q_x,Spine2_Q_y,Spine2_Q_z,Spine2_Q_w,Spine3_P_x,Spine3_P_y,Spine3_P_z,Spine3_Q_x,Spine3_Q_y,Spine3_Q_z,Spine3_Q_w,Spine4_P_x,Spine4_P_y,Spine4_P_z,Spine4_Q_x,Spine4_Q_y,Spine4_Q_z,Spine4_Q_w,LeftShoulder_P_x,LeftShoulder_P_y,LeftShoulder_P_z,LeftShoulder_Q_x,LeftShoulder_Q_y,LeftShoulder_Q_z,LeftShoulder_Q_w,LeftArm_P_x,LeftArm_P_y,LeftArm_P_z,LeftArm_Q_x,LeftArm_Q_y,LeftArm_Q_z,LeftArm_Q_w,LeftForeArm_P_x,LeftForeArm_P_y,LeftForeArm_P_z,LeftForeArm_Q_x,LeftForeArm_Q_y,LeftForeArm_Q_z,LeftForeArm_Q_w,LeftHand_P_x,LeftHand_P_y,LeftHand_P_z,LeftHand_Q_x,LeftHand_Q_y,LeftHand_Q_z,LeftHand_Q_w,Neck_P_x,Neck_P_y,Neck_P_z,Neck_Q_x,Neck_Q_y,Neck_Q_z,Neck_Q_w,Head_P_x,Head_P_y,Head_P_z,Head_Q_x,Head_Q_y,Head_Q_z,Head_Q_w,RightShoulder_P_x,RightShoulder_P_y,RightShoulder_P_z,RightShoulder_Q_x,RightShoulder_Q_y,RightShoulder_Q_z,RightShoulder_Q_w,RightArm_P_x,RightArm_P_y,RightArm_P_z,RightArm_Q_x,RightArm_Q_y,RightArm_Q_z,RightArm_Q_w,RightForeArm_P_x,RightForeArm_P_y,RightForeArm_P_z,RightForeArm_Q_x,RightForeArm_Q_y,RightForeArm_Q_z,RightForeArm_Q_w,RightHand_P_x,RightHand_P_y,RightHand_P_z,RightHand_Q_x,RightHand_Q_y,RightHand_Q_z,RightHand_Q_w
0,0,0,0,6.657903E-08,0,0,1,0.445974,0.9799137,-2.773968,-0.00123631,-0.05294929,-0.0110551,-0.9985353,0.3604436,0.978003,-2.764873,0.06694107,-0.7096176,0.05850572,-0.6989556,0.3665093,0.5264089,-2.683835,-0.09628098,-0.7062052,-0.1020744,-0.6939632,0.3684588,0.08460338,-2.811588,-0.03601104,-0.7117624,0.6979083,-0.07086137,0.3508302,0.01526308,-2.674562,-0.03601104,-0.7117624,0.6979083,-0.07086137,0.3396445,0.0001100183,-2.596709,-0.03601104,-0.7117624,0.6979083,-0.07086137,0.5315044,0.9818243,-2.783063,0.03347908,0.5960019,-0.06479428,-0.7996641,0.5607422,0.5278583,-2.723055,0.0867919,-0.5905924,-0.09698021,0.7964061,0.5374843,0.08354481,-2.839509,0.1214895,-0.7051426,0.6897421,0.1107709,0.5835179,0.01473004,-2.70897,0.1214895,-0.7051426,0.6897421,0.1107709,0.6092704,-0.0001004406,-2.634588,0.1214895,-0.7051426,0.6897421,0.1107709,0.4395603,1.070057,-2.815341,-0.05412696,0.006086905,-0.9984648,0.01007111,0.4379914,1.150686,-2.814273,-0.05530325,0.01093747,-0.9983684,0.009086791,0.4366257,1.231305,-2.812431,-0.0564816,0.01580218,-0.9982458,0.008099305,0.434667,1.367405,-2.80801,-0.0564816,0.01580218,-0.9982458,0.008099305,0.3607758,1.497475,-2.77511,0.1004813,-0.0850179,-0.7115191,0.6902292,0.2227959,1.502152,-2.812238,-0.01794867,-0.6688008,0.0707363,-0.7398514,0.1871243,1.227884,-2.79337,-0.1077648,0.7396761,-0.1282768,0.6517755,0.1847454,0.939759,-2.692559,-0.06400982,0.8434944,-0.2289984,0.4816425,0.4315706,1.582521,-2.801022,-0.05929621,0.03051674,-0.9977415,-0.008055687,0.433757,1.693315,-2.794368,-0.062082,0.04521647,-0.9967523,-0.02420676,0.5093541,1.50016,-2.791937,-0.1395794,-0.129287,-0.7052069,-0.6829977,0.6419128,1.504964,-2.845264,-0.04434083,0.6183289,-0.04627924,-0.7833017,0.6772124,1.230021,-2.848655,-0.05504142,-0.5860299,0.1261463,0.7985155,0.7190166,0.9363247,-2.776689,-0.05534876,-0.7192426,0.1770098,0.6695476
0,0,0,0,6.657903E-08,0,0,1,0.445974,0.9799137,-2.773968,-0.00123631,-0.05294929,-0.0110551,-0.9985353,0.3604436,0.978003,-2.764873,0.06694107,-0.7096176,0.05850572,-0.6989556,0.3665093,0.5264089,-2.683835,-0.09628098,-0.7062052,-0.1020744,-0.6939632,0.3684588,0.08460338,-2.811588,-0.03601104,-0.7117624,0.6979083,-0.07086137,0.3508302,0.01526308,-2.674562,-0.03601104,-0.7117624,0.6979083,-0.07086137,0.3396445,0.0001100183,-2.596709,-0.03601104,-0.7117624,0.6979083,-0.07086137,0.5315044,0.9818243,-2.783063,0.03347908,0.5960019,-0.06479428,-0.7996641,0.5607422,0.5278583,-2.723055,0.0867919,-0.5905924,-0.09698021,0.7964061,0.5374843,0.08354481,-2.839509,0.1214895,-0.7051426,0.6897421,0.1107709,0.5835179,0.01473004,-2.70897,0.1214895,-0.7051426,0.6897421,0.1107709,0.6092704,-0.0001004406,-2.634588,0.1214895,-0.7051426,0.6897421,0.1107709,0.4395603,1.070057,-2.815341,-0.05412696,0.006086905,-0.9984648,0.01007111,0.4379914,1.150686,-2.814273,-0.05530325,0.01093747,-0.9983684,0.009086791,0.4366257,1.231305,-2.812431,-0.0564816,0.01580218,-0.9982458,0.008099305,0.434667,1.367405,-2.80801,-0.0564816,0.01580218,-0.9982458,0.008099305,0.3607758,1.497475,-2.77511,0.1004813,-0.0850179,-0.7115191,0.6902292,0.2227959,1.502152,-2.812238,-0.01794867,-0.6688008,0.0707363,-0.7398514,0.1871243,1.227884,-2.79337,-0.1077648,0.7396761,-0.1282768,0.6517755,0.1847454,0.939759,-2.692559,-0.06400982,0.8434944,-0.2289984,0.4816425,0.4315706,1.582521,-2.801022,-0.05929621,0.03051674,-0.9977415,-0.008055687,0.433757,1.693315,-2.794368,-0.062082,0.04521647,-0.9967523,-0.02420676,0.5093541,1.50016,-2.791937,-0.1395794,-0.129287,-0.7052069,-0.6829977,0.6419128,1.504964,-2.845264,-0.04434083,0.6183289,-0.04627924,-0.7833017,0.6772124,1.230021,-2.848655,-0.05504142,-0.5860299,0.1261463,0.7985155,0.7190166,0.9363247,-2.776689,-0.05534876,-0.7192426,0.1770098,0.6695476
10.00977,0,0,0,6.657903E-08,0,0,1,0.4459729,0.9802307,-2.773894,-0.001133182,-0.05292383,-0.01107244,-0.9985365,0.3604421,0.978318,-2.764803,0.06637383,-0.7097426,0.05793175,-0.6989305,0.3665156,0.5265932,-2.684498,-0.0957652,-0.7063502,-0.1015496,-0.693964,0.3684524,0.0845982,-2.811594,-0.03600379,-0.7117655,0.6979128,-0.07079034,0.350833,0.0152592,-2.674566,-0.03600379,-0.7117655,0.6979128,-0.07079034,0.3396546,0.0001070381,-2.596713,-0.03600379,-0.7117655,0.6979128,-0.07079034,0.5315037,0.9821434,-2.782985,0.03423464,0.5958676,-0.06591423,-0.7996406,0.5611529,0.5283586,-2.721819,0.08771283,-0.5903704,-0.09815437,0.7963261,0.5375245,0.08440384,-2.839559,0.1214938,-0.7051344,0.6897389,0.1108392,0.5835658,0.01558793,-2.709023,0.1214938,-0.7051344,0.6897389,0.1108392,0.6093248,0.0007567934,-2.634644,0.1214938,-0.7051344,0.6897389,0.1108392,0.4395573,1.070366,-2.815286,-0.05409855,0.005988356,-0.9984666,0.0100986,0.4379832,1.150995,-2.814234,-0.0552719,0.0108435,-0.9983708,0.009124434,0.4366104,1.231614,-2.812406,-0.0564473,0.01571281,-0.9982488,0.00814713,0.4346372,1.367714,-2.808009,-0.0564473,0.01571281,-0.9982488,0.00814713,0.3607301,1.497782,-2.775137,0.1006209,-0.08500248,-0.7114049,0.6903286,0.2227554,1.50242,-2.812289,-0.01754803,-0.6684793,0.07066183,-0.7401586,0.187254,1.228139,-2.7933,-0.107662,0.7389854,-0.1284569,0.6525398,0.1846517,0.9400288,-2.692453,-0.06341548,0.8426744,-0.2290857,0.4831132,0.4315178,1.582831,-2.801059,-0.05929853,0.03041637,-0.9977447,-0.008028164,0.4336969,1.693627,-2.794426,-0.06212092,0.04510515,-0.9967554,-0.02419955,0.5093092,1.50048,-2.791953,-0.1394714,-0.12924,-0.7052602,-0.6829739,0.6418795,1.505296,-2.845251,-0.04436053,0.6183805,-0.04632453,-0.7832576,0.6772054,1.230357,-2.848633,-0.05504526,-0.5860962,0.1261643,0.7984638,0.7190107,0.9366634,-2.776655,-0.05536741,-0.7193459,0.1770598,0.6694225
20.01953,0,0,0,6.657903E-08,0,0,1,0.4459629,0.980545,-2.77383,-0.001074431,-0.05292926,-0.01107598,-0.9985363,0.3604322,0.9786322,-2.764738,0.06579786,-0.7098283,0.05734649,-0.6989463,0.3665103,0.5267757,-2.685178,-0.09522416,-0.7064562,-0.1010217,-0.6940079,0.3684565,0.08458723,-2.8116,-0.03602587,-0.7117504,0.6979319,-0.07074462,0.3508348,0.01525569,-2.674568,-0.03602587,-0.7117504,0.6979319,-0.07074462,0.3396575,0.0001079322,-2.596714,-0.03602587,-0.7117504,0.6979319,-0.07074462,0.5314936,0.9824578,-2.782922,0.03499565,0.595771,-0.06703617,-0.7995865,0.5615498,0.5288582,-2.720592,0.08862232,-0.5901859,-0.09930254,0.7962199,0.5375689,0.08525952,-2.839596,0.121489,-0.7051257,0.6897411,0.1108866,0.5836134,0.01644415,-2.709061,0.121489,-0.7051257,0.6897411,0.1108866,0.609376,0.001613372,-2.634683,0.121489,-0.7051257,0.6897411,0.1108866,0.4395458,1.070675,-2.815233,-0.05410583,0.005928253,-0.9984665,0.01010979,0.4379693,1.151304,-2.81419,-0.05528104,0.01078205,-0.9983709,0.009143267,0.436593,1.231923,-2.812372,-0.05645831,0.01565001,-0.9982491,0.00817363,0.4346116,1.368024,-2.807991,-0.05645831,0.01565001,-0.9982491,0.00817363,0.3606973,1.498092,-2.775135,0.1007434,-0.08502585,-0.7112783,0.6904383,0.2227289,1.502685,-2.812315,-0.01718235,-0.6682034,0.07063454,-0.740419,0.1873667,1.228395,-2.793199,-0.1076166,0.7383758,-0.1286226,0.653205,0.1845858,0.9403047,-2.6923,-0.06322404,0.8423778,-0.2290993,0.4836489,0.4314794,1.583142,-2.801068,-0.0593234,0.03034198,-0.9977458,-0.007996355,0.4336506,1.693939,-2.794451,-0.06215969,0.04501922,-0.9967579,-0.02416244,0.509276,1.500797,-2.791954,-0.1393563,-0.1291997,-0.7053175,-0.6829458,0.6418576,1.505627,-2.845222,-0.04435499,0.618429,-0.04634611,-0.7832182,0.6771913,1.230688,-2.848591,-0.05505584,-0.586188,0.1261809,0.7983931,0.7189924,0.936998,-2.776598,-0.05539055,-0.7194235,0.1770798,0.6693317
30.0293,0,0,0,6.657903E-08,0,0,1,0.4459528,0.980859,-2.773766,-0.001024266,-0.05291028,-0.01110673,-0.998537,0.3604219,0.9789414,-2.764678,0.06523564,-0.709912,0.05677928,-0.6989603,0.3665019,0.5269579,-2.685843,-0.09469729,-0.7065572,-0.1005036,-0.6940523,0.368455,0.08458139,-2.811604,-0.03602895,-0.7117459,0.6979405,-0.07070299,0.3508364,0.01525312,-2.67457,-0.03602895,-0.7117459,0.6979405,-0.07070299,0.3396625,0.0001073361,-2.596715,-0.03602895,-0.7117459,0.6979405,-0.07070299,0.5314838,0.9827767,-2.782855,0.03574017,0.5957426,-0.06816678,-0.799479,0.5619567,0.5293658,-2.719366,0.08954404,-0.5900669,-0.1004077,0.7960662,0.5376711,0.08612128,-2.839621,0.1214803,-0.705124,0.6897427,0.1108961,0.5837142,0.01730574,-2.709085,0.1214803,-0.705124,0.6897427,0.1108961,0.6094764,0.002475017,-2.634708,0.1214803,-0.705124,0.6897427,0.1108961,0.4395313,1.070984,-2.815178,-0.05410713,0.005875953,-0.9984665,0.01013762,0.4379499,1.151614,-2.814143,-0.05530261,0.01072762,-0.9983699,0.009168184,0.4365691,1.232233,-2.812334,-0.0565002,0.01559344,-0.9982472,0.00819562,0.4345811,1.368334,-2.807968,-0.0565002,0.01559344,-0.9982472,0.00819562,0.3606628,1.498402,-2.77512,0.1008359,-0.08502912,-0.7111745,0.6905311,0.2226983,1.502959,-2.812319,-0.01684946,-0.6679526,0.07066517,-0.7406499,0.1874402,1.228664,-2.793067,-0.1076368,0.7377816,-0.1288011,0.6538373,0.1845082,0.9406045,-2.692085,-0.06311417,0.842136,-0.2291183,0.4840753,0.4314383,1.583452,-2.801068,-0.05937514,0.03025403,-0.9977458,-0.007915389,0.4335908,1.694251,-2.79447,-0.06222142,0.04490001,-0.9967625,-0.02402258,0.5092399,1.501112,-2.791951,-0.1392237,-0.1291827,-0.7053597,-0.6829323,0.6418326,1.505949,-2.845191,-0.04438178,0.6184775,-0.0463875,-0.7831761,0.6771936,1.231014,-2.848556,-0.05505783,-0.5862672,0.126201,0.7983314,0.7189964,0.9373269,-2.77655,-0.05541183,-0.7195007,0.1770718,0.6692488
40.03906,0,0,0,6.657903E-08,0,0,1,0.4459366,0.9811727,-2.773694,-0.0009818446,-0.05287985,-0.01112374,-0.9985385,0.3604052,0.9792525,-2.76461,0.06466161,-0.7099934,0.05619567,-0.6989781,0.3664894,0.5271401,-2.686518,-0.09415963,-0.7066592,-0.09998091,-0.6940972,0.3684536,0.08457376,-2.81161,-0.03603278,-0.7117371,0.6979541,-0.0706557,0.3508383,0.01525056,-2.674573,-0.03603278,-0.7117371,0.6979541,-0.0706557,0.3396681,0.0001075745,-2.596717,-0.03603278,-0.7117371,0.6979541,-0.0706557,0.531468,0.9830928,-2.782778,0.03649511,0.5956869,-0.06925827,-0.7993927,0.5623254,0.5298696,-2.718144,0.09042656,-0.5899236,-0.1015245,0.795931,0.5377018,0.0869787,-2.839627,0.1214872,-0.7051173,0.6897431,0.1109287,0.5837499,0.0181638,-2.709093,0.1214872,-0.7051173,0.6897431,0.1109287,0.6095159,0.003333323,-2.634716,0.1214872,-0.7051173,0.6897431,0.1109287,0.4395142,1.071294,-2.815113,-0.05410665,0.005825172,-0.9984666,0.01015675,0.4379292,1.151924,-2.814086,-0.05533208,0.01066847,-0.998369,0.009189427,0.4365446,1.232543,-2.812286,-0.05655972,0.01552592,-0.9982451,0.008218986,0.4345494,1.368645,-2.807939,-0.05655972,0.01552592,-0.9982451,0.008218986,0.3606276,1.498713,-2.775099,0.1009021,-0.08506562,-0.7110592,0.6906359,0.2226674,1.503226,-2.812319,-0.01653529,-0.6677657,0.07075322,-0.7408173,0.1874845,1.228933,-2.792914,-0.107699,0.7373958,-0.1288609,0.6542509,0.1844989,0.940891,-2.691883,-0.06308533,0.8419331,-0.2291608,0.4844123,0.4313954,1.583764,-2.801067,-0.05940345,0.0302079,-0.9977463,-0.007857635,0.4335346,1.694563,-2.794478,-0.06221852,0.04487532,-0.9967662,-0.02393046,0.5092027,1.501429,-2.791948,-0.139088,-0.1291746,-0.7054068,-0.6829132,0.641806,1.506274,-2.845161,-0.04436504,0.6185408,-0.04644556,-0.7831236,0.6771867,1.231341,-2.848495,-0.05512611,-0.5864494,0.1262368,0.7981875,0.7189652,0.937664,-2.776434,-0.05547375,-0.7195839,0.1770572,0.6691586
50.04883,0,0,0,6.657903E-08,0,0,1,0.4459165,0.9814864,-2.773621,-0.000945101,-0.0528487,-0.01114185,-0.9985399,0.3603846,0.9795635,-2.764542,0.06409336,-0.7100707,0.05561068,-0.6989987,0.3664774,0.5273239,-2.687191,-0.09361696,-0.7067617,-0.09946112,-0.6941406,0.3684576,0.08456852,-2.811612,-0.03605069,-0.7117312,0.6979613,-0.07063277,0.3508392,0.01524824,-2.674574,-0.03605069,-0.7117312,0.6979613,-0.07063277,0.3396686,0.0001070381,-2.596717,-0.03605069,-0.7117312,0.6979613,-0.07063277,0.5314484,0.9834094,-2.782699,0.03724806,0.5956078,-0.07033274,-0.799323,0.5626807,0.5303748,-2.716934,0.09128761,-0.5897551,-0.1026376,0.7958148,0.5377062,0.08783682,-2.839625,0.1214851,-0.7051257,0.6897323,0.1109442,0.583755,0.0190177,-2.709094,0.1214851,-0.7051257,0.6897323,0.1109442,0.609522,0.004184716,-2.634718,0.1214851,-0.7051257,0.6897323,0.1109442,0.4394931,1.071605,-2.815047,-0.05410863,0.005781956,-0.9984665,0.01017544,0.4379048,1.152234,-2.814027,-0.05536719,0.01061879,-0.9983672,0.009208695,0.4365167,1.232854,-2.812235,-0.05662804,0.01546974,-0.9982416,0.008238832,0.4345155,1.368956,-2.807902,-0.05662804,0.01546974,-0.9982416,0.008238832,0.3605919,1.499024,-2.775066,0.1009289,-0.085107,-0.7109738,0.6907148,0.2226344,1.503504,-2.8123,-0.01626041,-0.6676449,0.07085971,-0.740922,0.1875065,1.229214,-2.792749,-0.1078186,0.7371202,-0.1289127,0.6545311,0.1845137,0.9411963,-2.69165,-0.06314557,0.8417683,-0.2292444,0.4846502,0.431352,1.584075,-2.801053,-0.05941576,0.03016226,-0.9977471,-0.007799423,0.4334779,1.694875,-2.794474,-0.06217488,0.04484027,-0.9967726,-0.02383392,0.5091646,1.501746,-2.791936,-0.1389781,-0.1291782,-0.7054404,-0.6828996,0.6417757,1.506595,-2.845129,-0.04436271,0.6185889,-0.04650265,-0.7830821,0.6771805,1.231665,-2.848441,-0.05515095,-0.5865378,0.1262682,0.7981158,0.718957,0.9379951,-2.776352,-0.05553621,-0.7196861,0.1770443,0.6690465
60.05859,0,0,0,6.657903E-08,0,0,1,0.4458869,0.9818,-2.773541,-0.000911408,-0.05280411,-0.01115175,-0.9985422,0.3603542,0.9798756,-2.76447,0.06352117,-0.7101324,0.05502658,-0.6990345,0.3664505,0.5275097,-2.687861,-0.09307574,-0.7068416,-0.09894611,-0.6942059,0.3684528,0.08456732,-2.811615,-0.03603703,-0.7117296,0.6979652,-0.07062082,0.3508396,0.0152483,-2.674576,-0.03603703,-0.7117296,0.6979652,-0.07062082,0.3396718,0.0001078129,-2.596718,-0.03603703,-0.7117296,0.6979652,-0.07062082,0.5314195,0.9837243,-2.782612,0.03830566,0.5955042,-0.07182378,-0.7992175,0.5631641,0.5309575,-2.715266,0.0924532,-0.5895421,-0.1041548,0.7956408,0.5377098,0.08890524,-2.839599,0.1214935,-0.7051259,0.6897272,0.1109666,0.583763,0.02008474,-2.70907,0.1214935,-0.7051259,0.6897272,0.1109666,0.6095331,0.005251043,-2.634695,0.1214935,-0.7051259,0.6897272,0.1109666,0.4394651,1.071916,-2.814974,-0.05409626,0.005738421,-0.9984673,0.0101838,0.437875,1.152545,-2.813961,-0.05538704,0.01056541,-0.9983666,0.009215517,0.4364854,1.233165,-2.812177,-0.05668022,0.01540649,-0.9982396,0.008244112,0.434482,1.369267,-2.807861,-0.05668022,0.01540649,-0.9982396,0.008244112,0.3605593,1.499338,-2.775034,0.1009169,-0.08515418,-0.7108855,0.6908015,0.2226026,1.503782,-2.812276,-0.01578048,-0.6676078,0.07115106,-0.7409375,0.1875324,1.229506,-2.792422,-0.1079959,0.7369238,-0.1290644,0.6546929,0.1845331,0.9415355,-2.691189,-0.06328136,0.8416456,-0.2293861,0.4847786,0.4313151,1.584387,-2.801039,-0.05938603,0.03010219,-0.9977514,-0.007729604,0.4334245,1.695189,-2.794473,-0.06206337,0.04478347,-0.9967853,-0.02369962,0.5091301,1.502061,-2.79192,-0.1387388,-0.129222,-0.7055036,-0.682875,0.6417557,1.506917,-2.845076,-0.04434928,0.6186408,-0.04654261,-0.7830395,0.6771734,1.231988,-2.848366,-0.05521081,-0.5865974,0.1263158,0.7980604,0.7189453,0.938329,-2.776228,-0.05563972,-0.7198021,0.1770268,0.6689179
70.06836,0,0,0,6.657903E-08,0,0,1,0.4458521,0.9821126,-2.773458,-0.0008988293,-0.05270107,-0.01118849,-0.9985473,0.3603176,0.9801821,-2.764404,0.0629603,-0.7101888,0.05444594,-0.6990734,0.3664223,0.5276928,-2.688529,-0.09253219,-0.7069221,-0.09843743,-0.6942689,0.368452,0.0845653,-2.811616,-0.03603554,-0.7117258,0.69797,-0.0706113,0.3508401,0.01524806,-2.674577,-0.03603554,-0.7117258,0.69797,-0.0706113,0.3396733,0.0001085282,-2.596719,-0.03603554,-0.7117258,0.69797,-0.0706113,0.5313865,0.9840432,-2.782511,0.03780954,0.5955053,-0.07120895,-0.7992954,0.5629563,0.5311611,-2.715862,0.09201366,-0.5895733,-0.103526,0.7957509,0.537716,0.08891406,-2.839544,0.1215045,-0.705129,0.6897219,0.1109659,0.5837721,0.02009237,-2.709017,0.1215045,-0.705129,0.6897219,0.1109659,0.6095434,0.005257898,-2.634643,0.1215045,-0.705129,0.6897219,0.1109659,0.4394321,1.072227,-2.814893,-0.05404561,0.005707791,-0.9984701,0.0102044,0.4378384,1.152856,-2.813885,-0.05538878,0.01051673,-0.998367,0.009219965,0.4364476,1.233476,-2.812109,-0.05673451,0.01533971,-0.9982377,0.008232363,0.4344467,1.369579,-2.807811,-0.05673451,0.01533971,-0.9982377,0.008232363,0.3605294,1.499656,-2.774994,0.1008813,-0.08521329,-0.7108115,0.6908756,0.2225731,1.504067,-2.812241,-0.01559798,-0.6676986,0.07129101,-0.7408462,0.1875158,1.2298,-2.792256,-0.108532,0.7368411,-0.1293401,0.654643,0.1846459,0.9419434,-2.690694,-0.06368256,0.8415374,-0.2298001,0.4847181,0.4312835,1.584701,-2.801018,-0.0593516,0.03004433,-0.9977556,-0.007678024,0.4333805,1.695503,-2.794464,-0.06194042,0.04473465,-0.9967982,-0.02358475,0.5090984,1.502374,-2.791896,-0.1386214,-0.1292582,-0.7055196,-0.6828756,0.6417301,1.507227,-2.845037,-0.04433866,0.618681,-0.04659647,-0.7830052,0.6771676,1.2323,-2.848302,-0.05527214,-0.5866542,0.1263507,0.7980089,0.7189287,0.9386513,-2.776119,-0.0557425,-0.7198955,0.1770237,0.6688097
80.07813,0,0,0,6.657903E-08,0,0,1,0.4458154,0.9824253,-2.773374,-0.0008977123,-0.05265288,-0.01121013,-0.9985496,0.3602802,0.9804911,-2.764329,0.06238085,-0.7102266,0.05385553,-0.6991326,0.3663853,0.5278764,-2.689204,-0.09198432,-0.7069855,-0.097924,-0.6943496,0.3684452,0.08456315,-2.811621,-0.03601396,-0.7117198,0.697978,-0.07060181,0.3508403,0.01524877,-2.674579,-0.03601396,-0.7117198,0.697978,-0.07060181,0.3396772,0.000110674,-2.59672,-0.03601396,-0.7117198,0.697978,-0.07060181,0.5313506,0.9843596,-2.782418,0.03727138,0.5955391,-0.07058093,-0.7993513,0.5627564,0.5313586,-2.716504,0.09162933,-0.5896217,-0.1029152,0.7958386,0.5377505,0.08893087,-2.839585,0.1215175,-0.7051246,0.6897261,0.1109539,0.5838093,0.02011162,-2.709058,0.1215175,-0.7051246,0.6897261,0.1109539,0.6095812,0.00527864,-2.634683,0.1215175,-0.7051246,0.6897261,0.1109539,0.4393956,1.07254,-2.81481,-0.0540343,0.005688489,-0.9984707,0.01021723,0.4377997,1.153169,-2.813805,-0.05541436,0.01047924,-0.9983659,0.009223993,0.4364079,1.233789,-2.812035,-0.05679708,0.01528398,-0.9982351,0.008227563,0.4344077,1.369892,-2.807752,-0.05679708,0.01528398,-0.9982351,0.008227563,0.3604946,1.499972,-2.77494,0.1008123,-0.08526132,-0.7107525,0.6909402,0.2225365,1.504357,-2.812184,-0.0154108,-0.6678621,0.07147424,-0.7406853,0.1874782,1.2301,-2.792046,-0.1088578,0.7369065,-0.129525,0.6544792,0.1846983,0.9423159,-2.690277,-0.06397106,0.8415471,-0.2300907,0.4845256,0.4312457,1.585014,-2.800983,-0.05931105,0.0299874,-0.9977599,-0.007612873,0.4333272,1.695818,-2.79444,-0.06179693,0.04467663,-0.9968127,-0.02344971,0.5090616,1.502689,-2.791861,-0.1385343,-0.1292966,-0.7055295,-0.6828756,0.6416969,1.507539,-2.844994,-0.04431944,0.6186996,-0.04664325,-0.7829886,0.6771482,1.232614,-2.848233,-0.05534112,-0.5866789,0.1263893,0.7979796,0.7189002,0.9389752,-2.776002,-0.05584516,-0.7199715,0.1770322,0.668717
