HeatMapData: X   Z
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
7,10,
1,78,3,04
1,19,8,86
8,93,7,44
-1,1,-0,5
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,3,-0,6
-1,6,-0,6
-1,9,-0,6
-2,0,-0,6
-2,2,-0,6
-2,2,-0,6
-2,2,-0,6
-2,2,-0,6
-2,2,-0,6
-2,2,-0,6
-2,2,-0,6
-2,2,-0,6
-2,2,-0,6
-2,2,-0,6
-1,6,-0,5
-1,3,-0,4
-0,8,-0,3
-0,8,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-0,7,-0,3
-1,1,-0,3
-1,6,-0,3
-1,9,-0,3
-1,9,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,0,-0,3
-2,1,0,32
-2,2,0,81
-2,3,1,24
-2,4,1,54
-2,5,2,02
-2,6,2,32
-2,6,2,45
-2,7,2,86
-2,7,3,09
-2,7,3,18
-2,8,3,50
-2,9,3,68
-2,9,3,84
-2,9,4,01
-3,0,4,14
-3,0,4,26
-3,0,4,36
-3,0,4,43
-3,0,4,48
-3,0,4,52
-3,0,4,55
-3,1,4,57
-3,1,4,57
-3,0,5,05
-3,0,5,45
-3,0,5,62
-3,0,5,70
-3,0,5,75
-3,0,5,75
-3,0,5,75
-3,0,5,75
-2,6,5,93
-2,2,6,13
-2,0,6,23
-1,9,6,27
-1,9,6,28
-1,9,6,28
-0,6,6,00
0,65,5,71
1,14,5,60
1,35,5,56
1,42,5,54
1,43,5,54
1,43,5,54
1,43,5,54
1,96,5,33
2,68,5,05
2,88,4,97
2,95,4,94
2,95,4,93
2,95,4,93
2,95,4,93
2,95,4,93
2,95,4,93
2,95,4,93
2,95,4,93
2,95,4,93
2,95,4,93
2,95,4,93
2,60,5,31
2,27,5,67
2,12,5,84
2,06,5,91
2,04,5,93
2,03,5,94
2,03,5,94
1,70,6,50
1,68,6,64
1,64,6,82
1,60,6,96
1,54,7,13
1,47,7,29
1,40,7,45
1,33,7,61
1,25,7,77
1,17,7,92
1,09,8,08
0,99,8,27
0,89,8,44
0,79,8,60
0,69,8,76
0,60,8,92
0,50,9,08
0,42,9,22
0,32,9,37
0,23,9,52
0,15,9,65
0,07,9,79
